,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,TOTAL_PACKET_SIZE
0,3e-05,-1.0,97.0,243.0,659.0
1,0.007416,1.0,97.0,2699.0,3095.0
2,0.007341,-1.0,140.0,1730.0,2943.0
3,0.066967,-1.0,74.0,148.0,820.0
4,0.008831,1.0,97.0,2701.0,3689.0
5,0.008482,1.0,573.0,2169.0,3032.0
6,0.075275,1.0,606.0,820.0,820.0
7,0.0554,-1.0,101.0,3203.0,3269.0
8,0.010922,-1.0,101.0,2964.0,3096.0
9,0.056393,1.0,236.0,1829.0,3197.0
10,0.051801,-1.0,66.0,3098.0,3098.0
11,0.007911,1.0,236.0,1966.0,2943.0
12,0.008666,1.0,97.0,2636.0,3032.0
13,0.007646,-1.0,140.0,2536.0,3095.0
14,0.073955,1.0,66.0,214.0,820.0
15,0.001492,1.0,606.0,746.0,2094.0
16,0.008157,-1.0,140.0,2538.0,3009.0
17,0.001792,1.0,606.0,746.0,2098.0
18,0.054136,1.0,66.0,3031.0,3031.0
19,0.001689,-1.0,150.0,216.0,1318.0
20,0.046577,1.0,66.0,3280.0,3619.0
21,0.009602,1.0,236.0,1966.0,3029.0
22,0.008241,1.0,66.0,1796.0,3096.0
23,0.072757,1.0,236.0,1522.0,2092.0
24,0.008618,-1.0,140.0,2539.0,2966.0
25,0.005195,-1.0,66.0,886.0,3099.0
26,0.002736,1.0,105.0,589.0,4084.0
27,0.073883,1.0,571.0,2093.0,2093.0
28,0.072758,1.0,571.0,2093.0,2093.0
29,0.041385,1.0,572.0,2234.0,3163.0
30,0.008919,1.0,97.0,2635.0,2943.0
31,0.060106,-1.0,101.0,5262.0,5328.0
32,0.007704,1.0,66.0,2602.0,3007.0
33,3.6e-05,1.0,66.0,140.0,2097.0
34,0.042835,1.0,504.0,1921.0,1921.0
35,0.000117,-1.0,66.0,198.0,2286.0
36,0.002688,1.0,66.0,132.0,606.0
37,0.002016,-1.0,101.0,349.0,415.0
38,0.076708,1.0,66.0,1120.0,1120.0
39,0.026019,-1.0,97.0,821.0,1330.0
40,0.002426,-1.0,150.0,282.0,1019.0
41,0.001731,-1.0,74.0,148.0,3067.0
42,0.009498,1.0,541.0,1317.0,2293.0
43,2.9e-05,1.0,66.0,140.0,2060.0
44,0.003552,-1.0,278.0,1090.0,3035.0
45,0.023452,1.0,130.0,2190.0,3742.0
46,0.055653,1.0,606.0,886.0,2846.0
47,0.058154,-1.0,66.0,2975.0,2975.0
48,0.006785,-1.0,97.0,2013.0,2246.0
49,0.019622,-1.0,278.0,1230.0,3132.0
50,0.068819,1.0,66.0,1156.0,2062.0
51,0.002032,-1.0,66.0,1376.0,1706.0
52,0.062001,1.0,66.0,5103.0,5103.0
53,0.040985,-1.0,74.0,4106.0,6932.0
54,0.000471,1.0,90.0,296.0,5348.0
55,0.081693,1.0,66.0,214.0,820.0
56,0.077802,1.0,539.0,2061.0,2061.0
57,0.071772,-1.0,74.0,148.0,820.0
58,0.000322,1.0,66.0,418.0,663.0
59,1e-05,-1.0,66.0,132.0,2270.0
60,0.040495,-1.0,66.0,3729.0,5752.0
61,0.00999,1.0,572.0,2168.0,3097.0
62,0.069828,-1.0,66.0,812.0,2093.0
63,0.079531,-1.0,278.0,1090.0,2095.0
64,0.040211,1.0,66.0,2669.0,3162.0
65,0.011336,1.0,66.0,2966.0,3032.0
66,0.054776,1.0,105.0,1060.0,4728.0
67,0.008217,-1.0,140.0,1730.0,3096.0
68,0.01217,1.0,97.0,2701.0,3009.0
69,2.5e-05,1.0,575.0,1442.0,6991.0
70,0.005183,-1.0,66.0,886.0,3090.0
71,0.001465,1.0,66.0,214.0,2960.0
72,0.005573,-1.0,278.0,1164.0,3092.0
73,0.005011,1.0,66.0,2110.0,6867.0
74,0.005117,-1.0,278.0,1164.0,3590.0
75,0.011483,-1.0,66.0,2686.0,2928.0
76,0.005499,-1.0,66.0,2481.0,3444.0
77,0.003397,1.0,606.0,820.0,3002.0
78,0.007997,1.0,566.0,2162.0,3091.0
79,0.067022,1.0,66.0,214.0,820.0
80,0.00868,1.0,97.0,2695.0,3003.0
81,0.008234,1.0,97.0,3219.0,3615.0
82,0.021187,-1.0,66.0,3801.0,7474.0
83,0.050235,-1.0,66.0,3002.0,3002.0
84,0.005867,-1.0,66.0,886.0,3003.0
85,0.076416,-1.0,74.0,148.0,820.0
86,0.01201,-1.0,230.0,2393.0,3092.0
87,0.04003,1.0,606.0,1788.0,3993.0
88,2.8e-05,1.0,126.0,915.0,6731.0
89,0.005607,-1.0,97.0,1885.0,3619.0
90,0.025531,1.0,66.0,4139.0,4279.0
91,0.037522,1.0,66.0,1296.0,3040.0
92,0.045524,1.0,606.0,2781.0,4960.0
93,0.061254,1.0,606.0,1472.0,3647.0
94,0.048935,1.0,74.0,2153.0,2153.0
95,0.009046,1.0,105.0,1864.0,5029.0
96,0.001743,1.0,66.0,214.0,2996.0
97,0.055443,1.0,66.0,1258.0,3888.0
98,0.002599,1.0,105.0,276.0,416.0
99,0.000165,1.0,558.0,1469.0,6863.0
100,0.002217,-1.0,66.0,1505.0,6696.0
101,0.001786,1.0,606.0,746.0,2062.0
102,0.066091,1.0,538.0,6849.0,7276.0
103,0.00977,-1.0,66.0,716.0,790.0
104,0.054497,-1.0,101.0,2834.0,2931.0
105,0.045507,1.0,97.0,2732.0,3040.0
106,0.021299,1.0,66.0,2638.0,3131.0
107,0.043769,-1.0,278.0,3116.0,5018.0
108,0.022721,-1.0,66.0,3721.0,3795.0
109,0.014083,1.0,105.0,3817.0,7078.0
110,0.001726,-1.0,74.0,148.0,3067.0
111,0.030949,-1.0,101.0,3002.0,3134.0
112,0.007152,1.0,606.0,886.0,3098.0
113,0.015881,-1.0,66.0,2576.0,2849.0
114,0.000175,-1.0,145.0,904.0,5007.0
115,0.075214,1.0,130.0,1286.0,2064.0
116,0.016673,1.0,74.0,783.0,1529.0
117,0.011288,-1.0,110.0,2847.0,2979.0
118,0.0,1.0,74.0,74.0,2978.0
119,0.001757,1.0,66.0,214.0,3153.0
120,0.041084,-1.0,97.0,6959.0,7192.0
121,0.079118,1.0,543.0,2065.0,2065.0
122,0.009928,1.0,66.0,3002.0,3068.0
123,0.010288,1.0,542.0,2138.0,2979.0
124,0.006797,1.0,236.0,1596.0,2980.0
125,0.008912,-1.0,101.0,2932.0,3064.0
126,0.046555,-1.0,140.0,3087.0,3646.0
127,0.038598,-1.0,66.0,4652.0,4982.0
128,0.011402,-1.0,66.0,886.0,2999.0
129,0.001737,-1.0,74.0,148.0,3057.0
130,0.005222,1.0,606.0,746.0,2832.0
131,1.6e-05,1.0,66.0,140.0,3574.0
132,0.026394,1.0,66.0,1296.0,3386.0
133,0.073928,1.0,606.0,820.0,820.0
134,4.6e-05,-1.0,97.0,247.0,3647.0
135,0.015084,-1.0,105.0,2013.0,5242.0
136,0.060549,-1.0,66.0,3127.0,3127.0
137,0.018392,1.0,66.0,2632.0,3037.0
138,0.054971,-1.0,101.0,7333.0,7411.0
139,0.013593,1.0,204.0,1075.0,6658.0
140,0.020728,-1.0,230.0,2426.0,3125.0
141,0.071819,1.0,606.0,820.0,820.0
142,0.003445,1.0,606.0,820.0,2841.0
143,0.068839,-1.0,74.0,148.0,820.0
144,0.038658,-1.0,140.0,1901.0,3166.0
145,4.1e-05,-1.0,97.0,235.0,709.0
146,0.074164,1.0,66.0,214.0,820.0
147,3.8e-05,1.0,66.0,140.0,2063.0
148,0.0114,1.0,236.0,1966.0,2999.0
149,0.012578,1.0,97.0,2593.0,2901.0
150,0.005922,-1.0,278.0,1164.0,3064.0
151,0.007715,1.0,66.0,1284.0,4498.0
152,3e-05,1.0,66.0,140.0,2062.0
153,0.023097,1.0,97.0,2866.0,2932.0
154,0.002943,1.0,606.0,820.0,3110.0
155,0.007959,1.0,66.0,2572.0,3065.0
156,0.014698,1.0,66.0,2571.0,2976.0
157,0.01177,1.0,66.0,2996.0,3062.0
158,0.026257,1.0,66.0,280.0,3042.0
159,0.00953,-1.0,230.0,1547.0,2293.0
160,0.081506,1.0,236.0,1522.0,2062.0
161,0.075425,1.0,606.0,820.0,820.0
162,0.016114,1.0,74.0,140.0,3179.0
163,0.076206,-1.0,66.0,812.0,2061.0
164,1.6e-05,1.0,66.0,140.0,2990.0
165,2.8e-05,-1.0,97.0,238.0,821.0
166,0.033464,1.0,130.0,1593.0,3331.0
167,0.005206,-1.0,66.0,886.0,2964.0
168,0.005795,1.0,130.0,1360.0,2875.0
169,0.006827,1.0,66.0,1175.0,3041.0
170,0.005614,1.0,66.0,1230.0,3005.0
171,0.005271,1.0,105.0,1502.0,4521.0
172,0.0,-1.0,66.0,66.0,2367.0
173,0.068615,-1.0,74.0,148.0,820.0
174,0.00947,-1.0,97.0,2862.0,3095.0
175,0.039498,1.0,74.0,140.0,140.0
176,0.054117,-1.0,66.0,2954.0,2954.0
177,0.058566,-1.0,230.0,2462.0,2963.0
178,0.051913,-1.0,66.0,3092.0,3092.0
179,0.016226,-1.0,66.0,2765.0,3095.0
180,0.052924,1.0,66.0,2986.0,3052.0
181,0.005703,-1.0,140.0,910.0,2278.0
182,0.061578,1.0,66.0,5492.0,5492.0
183,0.011066,-1.0,101.0,2964.0,3096.0
184,0.079022,-1.0,101.0,324.0,390.0
185,0.0,-1.0,197.0,197.0,592.0
186,0.001809,-1.0,101.0,324.0,390.0
187,0.017467,1.0,567.0,2599.0,3092.0
188,0.004108,-1.0,145.0,908.0,1572.0
189,0.003353,-1.0,101.0,2331.0,3574.0
190,0.04551,1.0,66.0,457.0,457.0
191,0.044012,1.0,74.0,140.0,2940.0
192,0.024635,1.0,105.0,2186.0,5127.0
193,0.035576,-1.0,140.0,6213.0,6684.0
194,0.063299,-1.0,278.0,7670.0,9383.0
195,0.001743,-1.0,74.0,148.0,3160.0
196,3.7e-05,1.0,66.0,140.0,2091.0
197,0.047923,-1.0,278.0,4705.0,6350.0
198,0.086437,-1.0,66.0,3354.0,3464.0
199,0.031605,-1.0,230.0,2463.0,3030.0
200,0.009596,-1.0,97.0,2861.0,3094.0
201,0.04671,1.0,236.0,2177.0,3611.0
202,6.7e-05,-1.0,66.0,198.0,5120.0
203,0.004982,1.0,672.0,1192.0,4971.0
204,0.004908,-1.0,278.0,1164.0,3094.0
205,0.028053,-1.0,66.0,5567.0,6740.0
206,0.012331,-1.0,140.0,2538.0,3097.0
207,0.009265,-1.0,101.0,2962.0,3094.0
208,0.03527,1.0,74.0,1042.0,4063.0
209,0.038997,-1.0,66.0,720.0,720.0
210,0.009358,-1.0,97.0,2862.0,3095.0
211,0.006224,-1.0,278.0,1164.0,3095.0
212,0.005423,1.0,66.0,1230.0,3094.0
213,0.011246,1.0,236.0,1596.0,3096.0
214,0.00903,-1.0,230.0,2394.0,3093.0
215,0.087815,-1.0,230.0,6179.0,7289.0
216,0.007772,1.0,236.0,1596.0,3094.0
217,0.066008,-1.0,101.0,4639.0,4705.0
218,0.080268,-1.0,101.0,328.0,394.0
219,0.000138,-1.0,105.0,352.0,1258.0
220,0.004612,-1.0,105.0,3136.0,5128.0
221,0.002102,-1.0,101.0,327.0,393.0
222,0.077914,-1.0,101.0,326.0,392.0
223,0.0,-1.0,150.0,150.0,1592.0
224,0.0,1.0,66.0,66.0,459.0
225,0.010887,1.0,101.0,167.0,656.0
226,0.071854,1.0,66.0,214.0,820.0
227,0.035686,1.0,97.0,2757.0,3153.0
228,0.0,-1.0,74.0,74.0,2089.0
229,0.077321,1.0,130.0,1286.0,2084.0
230,0.085006,1.0,66.0,1156.0,1286.0
231,0.00641,1.0,105.0,1499.0,2325.0
232,1.8e-05,1.0,66.0,140.0,2948.0
233,0.079442,1.0,66.0,3207.0,4999.0
234,0.085724,1.0,562.0,2084.0,2084.0
235,0.067988,1.0,66.0,214.0,820.0
236,0.005244,-1.0,66.0,886.0,2934.0
237,0.053332,-1.0,66.0,3088.0,3088.0
238,0.002101,-1.0,74.0,148.0,3089.0
239,0.010679,1.0,66.0,3022.0,3088.0
240,0.007008,1.0,236.0,1596.0,3002.0
241,4.1e-05,1.0,66.0,140.0,2057.0
242,0.040237,1.0,606.0,1406.0,3649.0
243,0.070958,1.0,66.0,1156.0,2060.0
244,0.076183,1.0,236.0,1522.0,2057.0
245,0.076629,1.0,236.0,1522.0,2058.0
246,0.043357,-1.0,66.0,2799.0,3129.0
247,0.008341,-1.0,140.0,2504.0,3063.0
248,0.072558,1.0,236.0,1522.0,2060.0
249,0.009988,1.0,97.0,2591.0,3034.0
250,0.025436,1.0,74.0,140.0,3125.0
251,0.009943,-1.0,110.0,2774.0,2906.0
252,0.042382,1.0,236.0,1662.0,3041.0
253,4.9e-05,-1.0,66.0,132.0,6906.0
254,0.002624,-1.0,66.0,1752.0,9077.0
255,0.028061,1.0,66.0,280.0,3096.0
256,0.040412,-1.0,66.0,2829.0,3159.0
257,0.007585,1.0,236.0,1596.0,3095.0
258,0.024216,-1.0,66.0,3366.0,12246.0
259,0.001458,-1.0,74.0,148.0,3095.0
260,0.008179,1.0,570.0,2166.0,3095.0
261,0.081565,1.0,66.0,214.0,820.0
262,0.005566,1.0,66.0,1230.0,3029.0
263,0.028125,-1.0,66.0,4466.0,6069.0
264,0.017117,1.0,66.0,5311.0,5556.0
265,0.030685,1.0,573.0,2235.0,3164.0
