,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,31.13.82.0-255,101,101,60,167
1,2.4e-05,172.31.46.0-255,66,167,60,167
2,0.0,157.240.13.0-255,231,231,60,553
3,1e-05,172.31.46.0-255,66,297,60,553
4,0.006456,172.31.46.0-255,155,452,60,553
5,0.00877,157.240.13.0-255,101,553,60,553
6,0.0,157.240.13.0-255,257,257,60,579
7,1.9e-05,172.31.46.0-255,66,323,60,579
8,0.009166,172.31.46.0-255,155,478,60,579
9,0.010819,157.240.13.0-255,101,579,60,579
10,0.0,31.13.82.0-255,101,101,60,167
11,2.3e-05,172.31.46.0-255,66,167,60,167
12,0.0,157.240.13.0-255,229,229,60,551
13,1.7e-05,172.31.46.0-255,66,295,60,551
14,0.010952,172.31.46.0-255,155,450,60,551
15,0.013314,157.240.13.0-255,101,551,60,551
16,0.0,157.240.13.0-255,230,230,60,552
17,1.3e-05,172.31.46.0-255,66,296,60,552
18,0.008708,172.31.46.0-255,155,451,60,552
19,0.011288,157.240.13.0-255,101,552,60,552
20,0.0,157.240.13.0-255,257,257,60,579
21,1.5e-05,172.31.46.0-255,66,323,60,579
22,0.009208,172.31.46.0-255,155,478,60,579
23,0.010938,157.240.13.0-255,101,579,60,579
24,0.0,157.240.13.0-255,229,229,60,551
25,1.6e-05,172.31.46.0-255,66,295,60,551
26,0.006433,172.31.46.0-255,155,450,60,551
27,0.008457,157.240.13.0-255,101,551,60,551
28,0.0,157.240.13.0-255,230,230,60,552
29,1.1e-05,172.31.46.0-255,66,296,60,552
30,0.009079,172.31.46.0-255,155,451,60,552
31,0.010763,157.240.13.0-255,101,552,60,552
32,0.0,157.240.7.0-255,233,233,60,555
33,1.2e-05,172.31.46.0-255,66,299,60,555
34,0.007365,172.31.46.0-255,155,454,60,555
35,0.00963,157.240.7.0-255,101,555,60,555
36,0.0,31.13.82.0-255,101,101,60,167
37,2.2e-05,172.31.46.0-255,66,167,60,167
38,0.0,157.240.13.0-255,230,230,60,552
39,1.9e-05,172.31.46.0-255,66,296,60,552
40,0.008855,172.31.46.0-255,155,451,60,552
41,0.010846,157.240.13.0-255,101,552,60,552
42,0.0,31.13.82.0-255,101,101,60,167
43,2.1e-05,172.31.46.0-255,66,167,60,167
44,0.0,157.240.13.0-255,224,224,60,546
45,1.3e-05,172.31.46.0-255,66,290,60,546
46,0.008013,172.31.46.0-255,155,445,60,546
47,0.00995,157.240.13.0-255,101,546,60,546
48,0.0,157.240.13.0-255,230,230,60,552
49,1.2e-05,172.31.46.0-255,66,296,60,552
50,0.008384,172.31.46.0-255,155,451,60,552
51,0.01093,157.240.13.0-255,101,552,60,552
52,0.0,157.240.13.0-255,232,232,60,664
53,2.5e-05,172.31.46.0-255,66,298,60,664
54,0.007156,172.31.46.0-255,265,563,60,664
55,0.009435,157.240.13.0-255,101,664,60,664
56,0.0,157.240.13.0-255,230,230,60,566
57,1.7e-05,172.31.46.0-255,66,296,60,566
58,0.007786,172.31.46.0-255,169,465,60,566
59,0.009765,157.240.13.0-255,101,566,60,566
60,0.0,31.13.82.0-255,101,101,60,167
61,1.9e-05,172.31.46.0-255,66,167,60,167
62,0.0,157.240.13.0-255,256,256,60,723
63,2.4e-05,172.31.46.0-255,66,322,60,723
64,0.01001,172.31.46.0-255,300,622,60,723
65,0.011702,157.240.13.0-255,101,723,60,723
66,0.0,31.13.82.0-255,101,101,60,167
67,2.2e-05,172.31.46.0-255,66,167,60,167
68,0.0,157.240.13.0-255,259,259,60,581
69,2e-05,172.31.46.0-255,66,325,60,581
70,0.007723,172.31.46.0-255,155,480,60,581
71,0.010335,157.240.13.0-255,101,581,60,581
72,0.0,157.240.13.0-255,233,233,60,555
73,2.4e-05,172.31.46.0-255,66,299,60,555
74,0.006547,172.31.46.0-255,155,454,60,555
75,0.008267,157.240.13.0-255,101,555,60,555
76,0.0,31.13.82.0-255,101,101,60,167
77,1.4e-05,172.31.46.0-255,66,167,60,167
78,0.0,157.240.13.0-255,230,230,60,552
79,2e-05,172.31.46.0-255,66,296,60,552
80,0.006573,172.31.46.0-255,155,451,60,552
81,0.008885,157.240.13.0-255,101,552,60,552
82,0.0,31.13.82.0-255,101,101,60,167
83,2.5e-05,172.31.46.0-255,66,167,60,167
84,0.0,157.240.13.0-255,231,231,60,553
85,1.9e-05,172.31.46.0-255,66,297,60,553
86,0.013135,172.31.46.0-255,155,452,60,553
87,0.014818,157.240.13.0-255,101,553,60,553
88,0.0,157.240.13.0-255,232,232,60,554
89,2.4e-05,172.31.46.0-255,66,298,60,554
90,0.008058,172.31.46.0-255,155,453,60,554
91,0.010092,157.240.13.0-255,101,554,60,554
92,0.0,157.240.13.0-255,233,233,60,569
93,2e-05,172.31.46.0-255,66,299,60,569
94,0.009721,172.31.46.0-255,169,468,60,569
95,0.011649,157.240.13.0-255,101,569,60,569
96,0.0,157.240.13.0-255,227,227,60,549
97,1.6e-05,172.31.46.0-255,66,293,60,549
98,0.006661,172.31.46.0-255,155,448,60,549
99,0.008428,157.240.13.0-255,101,549,60,549
100,0.0,31.13.82.0-255,101,101,60,167
101,2.1e-05,172.31.46.0-255,66,167,60,167
102,0.0,31.13.82.0-255,101,101,60,167
103,2.2e-05,172.31.46.0-255,66,167,60,167
104,0.0,157.240.7.0-255,231,231,60,553
105,1.8e-05,172.31.46.0-255,66,297,60,553
106,0.009172,172.31.46.0-255,155,452,60,553
107,0.011465,157.240.7.0-255,101,553,60,553
