,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,31.13.82.0-255,101,101,49,167
1,2.5e-05,172.31.46.0-255,66,167,49,167
2,0.0,157.240.13.0-255,234,234,49,617
3,1.8e-05,172.31.46.0-255,66,300,49,617
4,0.007841,172.31.46.0-255,150,450,49,617
5,0.010259,157.240.13.0-255,101,551,49,617
6,0.047574,172.31.46.0-255,66,617,49,617
7,0.0,157.240.13.0-255,254,254,49,637
8,1.2e-05,172.31.46.0-255,66,320,49,637
9,0.009129,172.31.46.0-255,150,470,49,637
10,0.010778,157.240.13.0-255,101,571,49,637
11,0.048803,172.31.46.0-255,66,637,49,637
12,0.0,31.13.82.0-255,101,101,49,167
13,1.5e-05,172.31.46.0-255,66,167,49,167
14,0.0,157.240.13.0-255,232,232,49,714
15,1.9e-05,172.31.46.0-255,66,298,49,714
16,0.008708,172.31.46.0-255,249,547,49,714
17,0.011085,157.240.13.0-255,101,648,49,714
18,0.049717,172.31.46.0-255,66,714,49,714
19,0.0,157.240.13.0-255,233,233,49,715
20,1.2e-05,172.31.46.0-255,66,299,49,715
21,0.009195,172.31.46.0-255,249,548,49,715
22,0.011556,157.240.13.0-255,101,649,49,715
23,0.048343,172.31.46.0-255,66,715,49,715
24,0.0,157.240.13.0-255,250,250,49,705
25,1.3e-05,172.31.46.0-255,66,316,49,705
26,0.007538,172.31.46.0-255,222,538,49,705
27,0.009235,157.240.13.0-255,101,639,49,705
28,0.045726,172.31.46.0-255,66,705,49,705
29,0.0,157.240.13.0-255,230,230,49,613
30,2e-05,172.31.46.0-255,66,296,49,613
31,0.009381,172.31.46.0-255,150,446,49,613
32,0.011361,157.240.13.0-255,101,547,49,613
33,0.051158,172.31.46.0-255,66,613,49,613
34,0.0,157.240.13.0-255,231,231,49,614
35,1.2e-05,172.31.46.0-255,66,297,49,614
36,0.009474,172.31.46.0-255,150,447,49,614
37,0.01121,157.240.13.0-255,101,548,49,614
38,0.049917,172.31.46.0-255,66,614,49,614
39,0.0,157.240.7.0-255,230,230,49,730
40,1.1e-05,172.31.46.0-255,66,296,49,730
41,0.008785,172.31.46.0-255,267,563,49,730
42,0.011128,157.240.7.0-255,101,664,49,730
43,0.048014,172.31.46.0-255,66,730,49,730
44,0.0,31.13.82.0-255,101,101,49,167
45,2.4e-05,172.31.46.0-255,66,167,49,167
46,0.0,157.240.13.0-255,233,233,49,616
47,1e-05,172.31.46.0-255,66,299,49,616
48,0.007966,172.31.46.0-255,150,449,49,616
49,0.01018,157.240.13.0-255,101,550,49,616
50,0.047283,172.31.46.0-255,66,616,49,616
51,0.0,31.13.82.0-255,101,101,49,459
52,2e-05,172.31.46.0-255,66,167,49,459
53,0.097387,31.13.82.0-255,226,393,49,459
54,0.097398,172.31.46.0-255,66,459,49,459
55,0.0,157.240.13.0-255,231,231,49,614
56,1.8e-05,172.31.46.0-255,66,297,49,614
57,0.007086,172.31.46.0-255,150,447,49,614
58,0.009083,157.240.13.0-255,101,548,49,614
59,0.047053,172.31.46.0-255,66,614,49,614
60,0.0,157.240.13.0-255,229,229,49,612
61,2.7e-05,172.31.46.0-255,66,295,49,612
62,0.008424,172.31.46.0-255,150,445,49,612
63,0.010737,157.240.13.0-255,101,546,49,612
64,0.047304,172.31.46.0-255,66,612,49,612
65,0.0,157.240.13.0-255,230,230,49,613
66,1e-05,172.31.46.0-255,66,296,49,613
67,0.007289,172.31.46.0-255,150,446,49,613
68,0.009717,157.240.13.0-255,101,547,49,613
69,0.048771,172.31.46.0-255,66,613,49,613
70,0.0,157.240.13.0-255,230,230,49,613
71,1.8e-05,172.31.46.0-255,66,296,49,613
72,0.009,172.31.46.0-255,150,446,49,613
73,0.010944,157.240.13.0-255,101,547,49,613
74,0.048714,172.31.46.0-255,66,613,49,613
75,0.0,31.13.82.0-255,101,101,49,463
76,2.4e-05,172.31.46.0-255,66,167,49,463
77,0.096979,31.13.82.0-255,230,397,49,463
78,0.09699,172.31.46.0-255,66,463,49,463
79,0.0,157.240.13.0-255,254,254,49,637
80,2.2e-05,172.31.46.0-255,66,320,49,637
81,0.009019,172.31.46.0-255,150,470,49,637
82,0.010687,157.240.13.0-255,101,571,49,637
83,0.050017,172.31.46.0-255,66,637,49,637
84,0.0,31.13.82.0-255,101,101,49,167
85,2.5e-05,172.31.46.0-255,66,167,49,167
86,0.0,157.240.13.0-255,253,253,49,636
87,1.8e-05,172.31.46.0-255,66,319,49,636
88,0.007708,172.31.46.0-255,150,469,49,636
89,0.009662,157.240.13.0-255,101,570,49,636
90,0.047971,172.31.46.0-255,66,636,49,636
91,0.0,157.240.13.0-255,230,230,49,613
92,1.8e-05,172.31.46.0-255,66,296,49,613
93,0.008721,172.31.46.0-255,150,446,49,613
94,0.010481,157.240.13.0-255,101,547,49,613
95,0.04912,172.31.46.0-255,66,613,49,613
96,0.0,31.13.82.0-255,101,101,49,167
97,1.8e-05,172.31.46.0-255,66,167,49,167
98,0.0,157.240.13.0-255,243,243,49,626
99,1.3e-05,172.31.46.0-255,66,309,49,626
100,0.010252,172.31.46.0-255,150,459,49,626
101,0.012697,157.240.13.0-255,101,560,49,626
102,0.049393,172.31.46.0-255,66,626,49,626
103,0.0,31.13.82.0-255,101,101,49,167
104,1.6e-05,172.31.46.0-255,66,167,49,167
105,0.0,157.240.13.0-255,231,231,49,614
106,1.8e-05,172.31.46.0-255,66,297,49,614
107,0.007534,172.31.46.0-255,150,447,49,614
108,0.009356,157.240.13.0-255,101,548,49,614
109,0.049318,172.31.46.0-255,66,614,49,614
110,0.0,157.240.13.0-255,232,232,49,615
111,2.2e-05,172.31.46.0-255,66,298,49,615
112,0.008922,172.31.46.0-255,150,448,49,615
113,0.010888,157.240.13.0-255,101,549,49,615
114,0.049316,172.31.46.0-255,66,615,49,615
115,0.0,157.240.13.0-255,231,231,49,614
116,1.4e-05,172.31.46.0-255,66,297,49,614
117,0.008486,172.31.46.0-255,150,447,49,614
118,0.010443,157.240.13.0-255,101,548,49,614
119,0.046617,172.31.46.0-255,66,614,49,614
120,0.0,157.240.13.0-255,229,229,49,612
121,1.8e-05,172.31.46.0-255,66,295,49,612
122,0.009502,172.31.46.0-255,150,445,49,612
123,0.011241,157.240.13.0-255,101,546,49,612
124,0.049367,172.31.46.0-255,66,612,49,612
125,0.0,31.13.82.0-255,101,101,49,465
126,1.4e-05,172.31.46.0-255,66,167,49,465
127,0.097566,31.13.82.0-255,232,399,49,465
128,0.097574,172.31.46.0-255,66,465,49,465
129,0.0,31.13.82.0-255,101,101,49,167
130,2.2e-05,172.31.46.0-255,66,167,49,167
131,0.0,157.240.7.0-255,232,232,49,615
132,2.1e-05,172.31.46.0-255,66,298,49,615
133,0.007316,172.31.46.0-255,150,448,49,615
134,0.009598,157.240.7.0-255,101,549,49,615
135,0.047239,172.31.46.0-255,66,615,49,615
136,0.0,31.13.82.0-255,101,101,49,464
137,2.2e-05,172.31.46.0-255,66,167,49,464
138,0.098496,31.13.82.0-255,231,398,49,464
139,0.098511,172.31.46.0-255,66,464,49,464
140,0.0,31.13.82.0-255,101,101,49,167
141,2.2e-05,172.31.46.0-255,66,167,49,167
142,0.0,157.240.13.0-255,230,230,49,613
143,1.9e-05,172.31.46.0-255,66,296,49,613
144,0.010465,172.31.46.0-255,150,446,49,613
145,0.012191,157.240.13.0-255,101,547,49,613
146,0.051642,172.31.46.0-255,66,613,49,613
147,0.0,157.240.13.0-255,224,224,49,607
148,1.6e-05,172.31.46.0-255,66,290,49,607
149,0.008631,172.31.46.0-255,150,440,49,607
150,0.010276,157.240.13.0-255,101,541,49,607
151,0.046336,172.31.46.0-255,66,607,49,607
152,0.0,157.240.13.0-255,232,232,49,615
153,1.4e-05,172.31.46.0-255,66,298,49,615
154,0.008929,172.31.46.0-255,150,448,49,615
155,0.010621,157.240.13.0-255,101,549,49,615
156,0.049286,172.31.46.0-255,66,615,49,615
157,0.0,157.240.7.0-255,232,232,49,615
158,1.6e-05,172.31.46.0-255,66,298,49,615
159,0.007544,172.31.46.0-255,150,448,49,615
